round,category,type,question,answers,options
round1,Mining,singlechoice,Which Planet is the only one that Has Treasure mining?,Arkadia,
round1,Mining,singlechoice,Where can you buy the tt finder?,trade terminal;TT,auction;trade terminal;technician;TT
round1,hunting,singlechoice,Which weapon type is the EP-2 Proton?,Laser Pistol,
round1,hunting,multiplechoice,Which amp is commonly dropped by the bots at Orthos Oilfield?,B101,A103;B101;Omegaton 101;B202
round1,crafting,singlechoice,What items are needed to craft explosive projectiles?,nanocubes,
round1,crafting,singlechoice,What extractor is needed to craft Arkadian Hornet hide texture?,Basic leather extractor,
round1,history,singlechoice,Who is Club Neverdie named after?,neverdie,
round1,history,singlechoice,What Company created Entropia Universe?,MindArk,
round1,beauty,singlechoice,How many paint cans or textures for max success chance?,323,
round1,beauty,singlechoice,Who is the prettiest Avatar?,Jimbobbityboo,
round1,economy,singlechoice,What is the full name of the currency used in Entropia Universe?,Project Entropia Dollar,
round1,economy,singlechoice,What is the default exchange rate between Project Entropia Dollars (PED) and USD?,1 PED = 1 USD,
round1,social,singlechoice,Which feature allows players to communicate with each other in Entropia Universe?,Chat;chat window;chat system,
round1,social,singlechoice,How many players can be in a team?,12,
round1,misc,singlechoice,What is the name of the crystal palace?,Crystal Palace,
round1,misc,singlechoice,What planet has fishing?,Next Island,
round2,Mining,singlechoice,Yes or no - is Sweetstuff an enmatter?,yes,
round2,Mining,singlechoice,What item is used to enhance the depth of your mining finder?,depth enhancer,
round2,hunting,singlechoice,How much HP does a creature with 1 stamina have?,10hp,
round2,hunting,singlechoice,What is the maximum tier a weapon can reach in Entropia Universe?,Tier 10,
round2,crafting,singlechoice,Which skill do many recommend unlocking through MS repair runs before crafting?,blueprint comprehension,
round2,crafting,singlechoice,What type of terminal do you use to craft?,construction terminal,
round2,history,singlechoice,Which year was Entropia Universe first launched?,2003,
round2,history,singlechoice,Who originally founded MindArk?,Johan Leman,
round2,beauty,singlechoice,What color are the default male briefs?,blue,
round2,beauty,singlechoice,Which coloring tool can you acquire from Next Island?,Elysian colorator,
round2,economy,singlechoice,How many PED is 100 PEC worth?,1,
round2,economy,singlechoice,Where is the unofficial trading hub on Calypso?,Twin Peaks,
round2,social,singlechoice,The abbreviation of a Rookie troll whose name rhymes with duck,ccr,
round2,social,singlechoice,What is the default key to open the Events window?,b,
round2,misc,singlechoice,Which is the largest planet in Entropia Universe?,Calypso,
round2,misc,singlechoice,What is the name of Limp Bizkit's lead singer?,fred durst,
